HOST,IP,REACHABLE,VERSION,OK,DETAILS
ECOADRIATICA,10.202.1.166,1,1.5,true,fetched version.json
ECOBARCELONA,10.202.1.134,1,1.5,true,fetched version.json
ECOCATANIA,10.202.1.161,1,1.5,true,fetched version.json
ECOITALIA,10.202.1.167,1,1.5,true,fetched version.json
ECOLIVORNO,10.202.1.152,1,1.5,true,fetched version.json
ECOMALTA,10.202.1.160,1,1.5,true,fetched version.json
ECOMEDITERRANEA,10.202.1.165,1,1.5,true,fetched version.json
ECONAPOLI,10.202.1.188,1,1.5,true,fetched version.json
ECOSALERNO,10.202.1.184,1,1.4,false,fetched version.json
ECOSAVONA,10.202.1.159,1,1.5,true,fetched version.json
ECOVALENCIA,10.202.1.133,1,1.5,true,fetched version.json
EUROCARGOALEXANDRIA,10.202.1.123,1,1.5,true,fetched version.json
EUROCARGOBARI,10.202.1.124,1,1.5,true,fetched version.json
EUROCARGOCAGLIARI,10.202.1.125,1,1.5,true,fetched version.json
EUROCARGOGENOVA,10.202.1.141,1,1.5,true,fetched version.json
EUROCARGOLIVORNO,10.202.1.142,1,1.5,true,fetched version.json
EUROCARGOMALTA,10.202.1.135,1,1.5,true,fetched version.json
EUROCARGOPALERMO,10.202.1.136,1,1.5,true,fetched version.json
EUROCARGORAVENNA,10.202.1.137,1,1.5,true,fetched version.json
EUROCARGOROMA,10.202.1.13,1,1.5,true,fetched version.json
EUROCARGOTRIESTE,10.202.1.183,1,1.5,true,fetched version.json
EUROCARGOVALENCIA,10.202.1.126,1,1.5,true,fetched version.json
EUROCARGOVENEZIA,10.202.1.138,1,1.5,true,fetched version.json
GRANDEABIDJAN,10.202.1.104,1,1.5,true,fetched version.json
GRANDEAMBURGO,10.202.1.151,1,1.5,true,fetched version.json
GRANDEANVERSA,10.202.1.155,1,1.5,true,fetched version.json
GRANDEBALTIMORA,10.202.1.108,1,1.5,true,fetched version.json
GRANDEBENELUX,10.202.1.164,1,1.5,true,fetched version.json
GRANDEBENIN,10.202.1.111,1,1.5,true,fetched version.json
GRANDEBRETAGNA,10.202.1.146,1,1.5,true,fetched version.json
GRANDEBUENOSAIRES,10.202.1.158,1,1.5,true,fetched version.json
GRANDECALIFORNIA,10.202.1.162,1,1.5,true,fetched version.json
GRANDECAMEROON,10.202.1.112,1,1.5,true,fetched version.json
GRANDECOLONIA,10.202.1.117,1,1.5,true,fetched version.json
GRANDECONGO,10.202.1.120,1,1.5,true,fetched version.json
GRANDECOSTADAVORIO,10.202.1.116,1,1.5,true,fetched version.json
GRANDECOTONOU,10.202.1.107,1,1.5,true,fetched version.json
GRANDEDETROIT,10.202.1.153,1,1.5,true,fetched version.json
GRANDEELLADE,10.202.1.144,1,1.5,true,fetched version.json
GRANDEEUROPA,10.202.1.105,1,1.5,true,fetched version.json
GRANDEFLORIDA,10.202.1.148,1,1.4,false,fetched version.json
GRANDEGABON,10.202.1.121,1,1.5,true,fetched version.json
GRANDEGHANA,10.202.1.113,1,1.5,true,fetched version.json
GRANDEGUINEA,10.202.1.118,1,1.5,true,fetched version.json
GRANDEHALIFAX,10.202.1.127,1,1.5,true,fetched version.json
GRANDEHOUSTON,10.202.1.109,1,1.5,true,fetched version.json
GRANDEITALIA,10.202.1.140,1,1.5,true,fetched version.json
GRANDELAGOS,10.202.1.131,1,1.5,true,fetched version.json
GRANDELUANDA,10.202.1.106,1,1.5,true,fetched version.json
GRANDEMAROCCO,10.202.1.119,1,1.5,true,fetched version.json
GRANDEMEDITERRANEO,10.202.1.147,1,1.5,true,fetched version.json
GRANDEMIRAFIORI,10.202.1.102,1,1.5,true,fetched version.json
GRANDENAPOLI,10.202.1.129,1,1.5,true,fetched version.json
GRANDENEWJERSEY,10.202.1.132,1,1.5,true,fetched version.json
GRANDENEWYORK,10.202.1.128,1,1.5,true,fetched version.json
GRANDENIGERIA,10.202.1.149,1,1.5,true,fetched version.json
GRANDESANPAOLO,10.202.1.101,1,1.5,true,fetched version.json
GRANDESCANDINAVIA,10.202.1.145,1,1.5,true,fetched version.json
GRANDESENEGAL,10.202.1.110,1,1.5,true,fetched version.json
GRANDESICILIA,10.202.1.157,1,1.5,true,fetched version.json
GRANDESIERRALEONE,10.202.1.122,1,1.5,true,fetched version.json
GRANDESPAGNA,10.202.1.139,1,1.5,true,fetched version.json
GRANDETEXAS,10.202.1.154,1,1.5,true,fetched version.json
GRANDETOGO,10.202.1.114,1,1.5,true,fetched version.json
