HOST,IP,STATUS
ECOADRIATICA,10.202.1.166,UNKNOWN
ECOBARCELONA,10.202.1.134,UNKNOWN
ECOCATANIA,10.202.1.161,UNKNOWN
ECOITALIA,10.202.1.167,UNKNOWN
ECOLIVORNO,10.202.1.152,UNKNOWN
ECOMALTA,10.202.1.160,UNKNOWN
ECOMEDITERRANEA,10.202.1.165,OK 
ECONAPOLI,10.202.1.188,UNKNOWN
ECOSALERNO,10.202.1.184,UNKNOWN
ECOSAVONA,10.202.1.159,UNKNOWN
ECOVALENCIA,10.202.1.133,UNKNOWN
EUROCARGOALEXANDRIA,10.202.1.123,UNKNOWN
EUROCARGOBARI,10.202.1.124,UNKNOWN
EUROCARGOCAGLIARI,10.202.1.125,UNKNOWN
EUROCARGOGENOVA,10.202.1.141,UNKNOWN
EUROCARGOLIVORNO,10.202.1.142,UNKNOWN
EUROCARGOMALTA,10.202.1.135,UNKNOWN
EUROCARGOPALERMO,10.202.1.136,UNKNOWN
EUROCARGORAVENNA,10.202.1.137,UNKNOWN
EUROCARGOROMA,10.202.1.13,UNKNOWN
EUROCARGOSALERNO,10.202.1.178,PENDING
EUROCARGOTRIESTE,10.202.1.183,UNKNOWN
EUROCARGOVALENCIA,10.202.1.126,UNKNOWN
EUROCARGOVENEZIA,10.202.1.138,UNKNOWN
GRANDEABIDJAN,10.202.1.104,UNKNOWN
GRANDEAMBURGO,10.202.1.151,UNKNOWN
GRANDEANGOLA,10.202.1.115,UNKNOWN
GRANDEANVERSA,10.202.1.155,UNKNOWN
GRANDEAUCKLAND,10.202.1.198,UNKNOWN
GRANDEBALTIMORA,10.202.1.108,UNKNOWN
GRANDEBENELUX,10.202.1.164,UNKNOWN
GRANDEBENIN,10.202.1.111,UNKNOWN
GRANDEBRETAGNA,10.202.1.146,UNKNOWN
GRANDEBUENOSAIRES,10.202.1.158,UNKNOWN
GRANDECALIFORNIA,10.202.1.162,OK 
GRANDECAMEROON,10.202.1.112,UNKNOWN
GRANDECOLONIA,10.202.1.117,UNKNOWN
GRANDECONGO,10.202.1.120,UNKNOWN
GRANDECOSTADAVORIO,10.202.1.116,UNKNOWN
GRANDECOTONOU,10.202.1.107,UNKNOWN
GRANDEDAKAR,10.202.1.100,PENDING
GRANDEDETROIT,10.202.1.153,UNKNOWN
GRANDEELLADE,10.202.1.144,PENDING
GRANDEEUROPA,10.202.1.105,UNKNOWN
GRANDEFLORIDA,10.202.1.148,UNKNOWN
GRANDEFRANCIA,10.202.1.150,UNKNOWN
GRANDEGABON,10.202.1.121,UNKNOWN
GRANDEGHANA,10.202.1.113,UNKNOWN
GRANDEGUINEA,10.202.1.118,UNKNOWN
GRANDEHALIFAX,10.202.1.127,UNKNOWN
GRANDEHOUSTON,10.202.1.109,UNKNOWN
GRANDEINGHILTERRA,10.202.1.190,PENDING
GRANDEISTANBUL,10.202.1.200,PENDING
GRANDEITALIA,10.202.1.140,UNKNOWN
GRANDELAGOS,10.202.1.131,UNKNOWN
GRANDELUANDA,10.202.1.106,UNKNOWN
GRANDEMANILA,10.202.1.201,PENDING
GRANDEMAROCCO,10.202.1.119,UNKNOWN
GRANDEMEDITERRANEO,10.202.1.147,UNKNOWN
GRANDEMELBOURNE,10.202.1.199,PENDING
GRANDEMICHIGAN,10.202.1.193,PENDING
GRANDEMIRAFIORI,10.202.1.102,UNKNOWN
GRANDENAPOLI,10.202.1.129,UNKNOWN
GRANDENEWJERSEY,10.202.1.132,UNKNOWN
GRANDENEWYORK,10.202.1.128,UNKNOWN
GRANDENIGERIA,10.202.1.149,UNKNOWN
GRANDEPORTOGALLO,10.202.1.163,UNKNOWN
GRANDEROMA,10.202.1.156,UNKNOWN
GRANDESANPAOLO,10.202.1.101,UNKNOWN
GRANDESCANDINAVIA,10.202.1.145,UNKNOWN
GRANDESENEGAL,10.202.1.110,UNKNOWN
GRANDESEOUL,10.202.1.202,UNKNOWN
GRANDESHANGAI,10.202.1.185,UNKNOWN
GRANDESICILIA,10.202.1.157,UNKNOWN
GRANDESIERRALEONE,10.202.1.122,UNKNOWN
GRANDESPAGNA,10.202.1.139,UNKNOWN
GRANDESVEZIA,10.202.1.187,UNKNOWN
GRANDETEMA,10.202.1.103,UNKNOWN
GRANDETEXAS,10.202.1.154,UNKNOWN
GRANDETIANJIN,10.202.1.189,UNKNOWN
GRANDETOGO,10.202.1.114,UNKNOWN
GRANDETOKYO,10.202.1.203,UNKNOWN
GRANDETORINO,10.202.1.130,UNKNOWN
